[2018-06-28 18:52:42] default.NOTICE 4592 9118c39: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:52:43] default.NOTICE 4592 e7c5710: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:52:44] default.NOTICE 4592 671d016: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:52:45] default.NOTICE 4592 2dc5b6c: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:52:47] default.NOTICE 4592 c9a60a3: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:52:59] default.NOTICE 4592 7520be4: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:53:24] default.NOTICE 4592 7c34984: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:53:33] default.NOTICE 4592 180d381: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:53:38] default.NOTICE 4592 85df7aa: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:53:40] default.NOTICE 4592 771a1be: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
[2018-06-28 18:53:45] default.NOTICE 4592 4749bf8: E_DEPRECATED: The each() function is deprecated. This message will be suppressed on further calls {"code":8192,"message":"The each() function is deprecated. This message will be suppressed on further calls","file":"C:\\xampp\\htdocs\\framework\\libs\\vendor\\cssmin\\CssMin.php","line":2222}
